整型 int
字符 char
短的 short
长的 long
无符号 unsigned
有符号 signed
布尔 bool
浮点 float
双精度浮点 double
空指针 nullptr
空指针类型 nullptr_t
主函数 main
标准库 std
矢量 vector
数组 array
堆栈 stack
队列 queue
一对 pair
制作一对 make_pair
元组 tuple
制作元组 make_tuple
多选组 variant
可选项 optional
制作可选项 make_optional
可选项为空 nullopt
任意 any
集合 set
字典 map
无序集合 unordered_set
无序字典 unordered_map
函数 function
排序 sort
开始 begin
结束 end
大小 size
调整大小 resize
数据 data
定义 define
包含 include
定义了 defined
找得到头文件 __has_include
位于 at
寻找 find
变换 transform
含有 contains
插入 insert
构造 emplace
推入 push
推入至末尾 push_back
构造至末尾 emplace_back
移动 move
转发 forward
子字符串 substr
以之开始 starts_with
以之结束 ends_with
独占指针 unique_ptr
创建独占指针 make_unique
共享指针 shared_ptr
创建共享指针 make_shared
弱指针 weak_ptr
创建弱指针 make_weak
运算符 operator
结构体 struct
定义类 class
类型名 typename
模板 template
输入文件流 ifstream
输出文件流 ofstream
字符串流 stringstream
输入字符串流 istringstream
输出字符串流 ostringstream
文件之流 fstream
字符串之流 sstream
输入输出之流 iostream
标准输入输出库 cstdio
标准函数库 cstdlib
标准数学库 cmath
通用算法库 algorithm
最大 max
最小 min
字符串转整数 stoi
转为字符串 to_string
字符串 string
字符串区间 string_view
内联 inline
静态 static
编译期常值 constexpr
公开 public
保护 protected
私有 private
本对象 this
如果 if
否则 else
打断 break
执行 do
当满足 while
循环 for
使用 using
名字空间 namespace
获取类型 decltype
自动 auto
常值 const
标准输入流 cin
标准输出流 cout
错误输出流 cerr
行结束符 endl
返回 return
